Title,Price,Marque,Modele,Kilometrage,Mise_en_circulation,Energie,Boite_vitesse,Puissance_fiscale,Puissance_ch,Transmission,Carrosserie,Etat_general,Proprietaires,Gouvernorat,Couleur_exterieure,Couleur_interieure,Sellerie,Nombre_places,Nombre_portes,Cylindree,Equipements,Date_annonce,URL
MITSUBISHI MONTERO,50000 DT,Mitsubishi,Montero,64000,1.2005,Diesel,Manuelle,,,,,,,Tunis,Vert,Noir,,,5,,Direction assistée,03.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141003070836
RENAULT CLIO CLASSIQUE,13300 DT,Renault,Clio Classique,181000,5.2005,Essence,Manuelle,,,,,,,Ben Arous,Noir,Gris,,,5,,,30.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140930104623
CITROEN C3,17500 DT,Citroen,C3,82000,11.2006,Essence,Manuelle,,,,,,,Sfax,Rouge,,,,4,,,30.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140930014536
OPEL ASTRA ASTRA H,25000 DT,Opel,Astra Astra H,133000,7.2009,Essence,Manuelle,,,,,,,Manouba,Gris,Gris,,,4,,,28.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140928172651
RENAULT SYMBOL,16500 DT,Renault,Symbol,104,6.2010,Essence,Manuelle,,,,,,,Kef,Beige,Noir,,,4,,,28.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140928170812
VOLKSWAGEN GOLF GOLF 4,17300 DT,Volkswagen,Golf Golf 4,180000,1.2000,Essence,Manuelle,,,,,,,Tunis,Noir,Noir,,,4,,,28.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140928162103
RENAULT CLIO 3,26000 DT,Renault,Clio 3,32000,5.2013,Essence,Manuelle,,,,,,,Tunis,,Noir,,,5,,"ABS, ESP, GPS",26.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140926161403
MERCEDES CLASSE CLS C219,2500 DT,Mercedes,Classe Cls C219,,1.1970,Diesel,Automatique,,,,,,,Tunis,,,,,,,,26.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140926143721
PEUGEOT 3008,35000 DT,Peugeot,3008,64000,5.2011,Essence,Manuelle,,,,,,,Medenine,Gris,Noir,,,4,,,23.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140923151922
FIAT PUNTO,10500 DT,Fiat,Punto,230650,2.1999,Essence,Manuelle,,,,,,,Sousse,Gris,Bleu,,,4,,,23.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140923135918
